"identifier","labels","text","en","es-CO","de","fr-CA","nl","de-CH","es-AR","en-GH"
"TeacherMultigrade","teacher_survey_classroom","No","No","No","Nein","Non","Nee","Nein","No","No"
"TeacherMultigradeLevels","teacher_survey_classroom","If yes","what grade levels are included in the class you teach? (select all that apply)","If yes","what grade levels are included in the class you teach? (select all that apply)","En caso afirmativo","¿cuáles grados se encuentran el salón multigrado que enseña? (Marque todas las que procedan.)","Wenn ja","welche Klassenstufen sind in der Klasse","die Sie unterrichten"
"TeacherMultigradeLevels","teacher_survey_classroom","Prekindergarten","Prekindergarten","Prejardín","Vorschule","Prématernelle","Voorschool","Vorschule","Prejardín","Prekindergarten"
"TeacherMultigradeLevels","teacher_survey_classroom","Transitional (or readiness) kindergarten","Transitional (or readiness) kindergarten","Transición o Grado cero","Übergangskindergarten","Maternelle de transition (ou de préparation)","Transitie (of gereedheids) peuterklas","Übergangskindergarten","Transición o Grado cero","Transitional (or readiness) kindergarten"
"TeacherMultigradeLevels","teacher_survey_classroom","Kindergarten","Kindergarten","Jardín","Kindergarten","Maternelle","Kleuterschool","Kindergarten","Jardín","Kindergarten"
"TeacherMultigradeLevels","teacher_survey_classroom","1st Grade","1st Grade","Primer grado","1. Klasse","1ère année","1e leerjaar","1. Klasse","Primer grado","1st Grade"
"TeacherMultigradeLevels","teacher_survey_classroom","2nd Grade","2nd Grade","Segundo grado","2. Klasse","2ème année","2e leerjaar","2. Klasse","Segundo grado","2nd Grade"
"TeacherMultigradeLevels","teacher_survey_classroom","3rd Grade","3rd Grade","Tercer grado","3. Klasse","3ème année","3e leerjaar","3. Klasse","Tercer grado","3rd Grade"
"TeacherMultigradeLevels","teacher_survey_classroom","4th Grade","4th Grade","Cuarto grado","4. Klasse","4ème année","4e leerjaar","4. Klasse","Cuarto grado","4th Grade"
"TeacherMultigradeLevels","teacher_survey_classroom","5th Grade","5th Grade","Quinto grado","5. Klasse","5ème année","5e leerjaar","5. Klasse","Quinto grado","5th Grade"
"TeacherMultigradeLevels","teacher_survey_classroom","6th Grade","6th Grade","Sexto grado","6. Klasse","6ème année","6e leerjaar","6. Klasse","Sexto grado","6th Grade"
"TeacherMultigradeLevels","teacher_survey_classroom","7th Grade","7th Grade","Séptimo grado","7. Klasse","7ème année","7e leerjaar","7. Klasse","Séptimo grado","7th Grade"
"TeacherMultigradeLevels","teacher_survey_classroom","8th Grade","8th Grade","Octavo grado","8. Klasse","8ème année","8e leerjaar","8. Klasse","Octavo grado","8th Grade"
"TeacherGradeLevel","teacher_survey_classroom","What grade level do you teach?","What grade level do you teach?","¿En qué grado enseña?","Welche Klassenstufe unterrichten Sie?","Quel niveau scolaire enseignez-vous ?","In welk leerjaar geeft u les?","Welche Klassenstufe unterrichten Sie?","¿En qué grado enseña?","What grade level do you teach?"
"TeacherLanguageStudents","teacher_survey_classroom","What languages are spoken by students in this class (select all that apply)?","What languages are spoken by students in this class (select all that apply)?","¿Qué idiomas hablan los(as) estudiantes en este salón de clase?","Welche Sprachen sprechen die Schüler in dieser Klasse (Wählen Sie alle","die zutreffen)?","Quelles langues sont parlées par les élèves de cette classe (sélectionnez tout ce qui s'applique) ?","Welke talen worden er in deze klas door de studenten gesproken (selecteer alles wat van toepassing is)?","Welche Sprachen sprechen die Schüler in dieser Klasse (Wählen Sie alle","die zutreffen)?"
"TeacherLanguageStudents","teacher_survey_classroom","Arabic","Arabic","Árabe","Arabisch","Arabe","Arabisch","Arabisch","Árabe","Arabic"
"TeacherLanguageStudents","teacher_survey_classroom","Chinese","Chinese","Chino","Chinesisch","Chinois","Chinees","Chinesisch","Chino","Chinese"
"TeacherLanguageStudents","teacher_survey_classroom","English","English","Inglés","Englisch","Anglais","Engels","Englisch","Inglés","English"
"TeacherLanguageStudents","teacher_survey_classroom","French","French","Francés","Französisch","Français","Frans","Französisch","Francés","French"
"TeacherLanguageStudents","teacher_survey_classroom","German","German","Alemán","Deutsch","Allemand","Duits","Deutsch","Alemán","German"
"TeacherLanguageStudents","teacher_survey_classroom","Korean","Korean","Coreano","Koreanisch","Coréen","Koreaans","Koreanisch","Coreano","Korean"
"TeacherLanguageStudents","teacher_survey_classroom","Spanish","Spanish","Español","Spanisch","Espagnol","Spaans","Spanisch","Español","Spanish"
"TeacherLanguageStudents","teacher_survey_classroom","Tagalog","Tagalog","Tagalo","Tagalog","Tagalog","Tagalog","Tagalog","Tagalo","Tagalog"
"TeacherLanguageStudents","teacher_survey_classroom","Vietnamese","Vietnamese","Vietnamita","Vietnamesisch","Vietnamien","Vietnamees","Vietnamesisch","Vietnamita","Vietnamese"
"TeacherLanguageTeachers","teacher_survey_classroom","What languages do you or your assistant teacher speak <b>in the classroom</b> (select all that apply)?","What languages do you or your assistant teacher speak <b>in the classroom</b> (select all that apply)?","¿Qué idiomas hablan usted o su docente asistente <b>en el aula de clase?</b>","Welche Sprachen sprechen Sie oder Ihr Assistenzlehrer <b>im Unterricht</b> (Wählen Sie alle","die zutreffen)?","Quelles langues parlez-vous ou votre professeur assistant <b>en classe</b> (sélectionnez tout ce qui s'applique) ?","Welke talen spreken u of uw assistent-docent <b>in de klas</b> (selecteer alles wat van toepassing is)?","Welche Sprachen sprechen Sie oder Ihr Assistenzlehrer <b>im Unterricht</b> (Wählen Sie alle","What languages do you or your assistant teacher speak <b>in the classroom</b> (select all that apply)?"
"TeacherReadingBelow","teacher_survey_classroom","About how many children in this classroom are BELOW grade level in their reading skills?","About how many children in this classroom are BELOW grade level in their reading skills?","¿Cuántos niños(as) de este salón tienen un nivel de lectura POR DEBAJO del grado que cursan?","Wie viele Kinder in dieser Klasse haben ein Lesetempo","das UNTER dem Klassenniveau liegt?","Environ combien d'enfants dans cette classe sont en DESSOUS du niveau scolaire en ce qui concerne leurs compétences en lecture ?","Hoeveel kinderen in deze klas hebben een leesniveau ONDER hun leerjaar?","Wie viele Kinder in dieser Klasse haben ein Lesetempo","das UNTER dem Klassenniveau liegt?"
"TeacherReadingBelow","teacher_survey_classroom","number of children","number of children","Número de niños(as)","Anzahl der Kinder","nombre d'enfants","aantal kinderen","Anzahl der Kinder","Número de niños(as)","number of children"
"TeacherReadingAbove","teacher_survey_classroom","About how many children in this classroom are ABOVE grade level in their reading skills?","About how many children in this classroom are ABOVE grade level in their reading skills?","¿Cuántos niños(as) de este salón tienen un nivel de lectura POR ENCIMA del grado que cursan?","Wie viele Kinder in dieser Klasse haben ein Lesetempo","das ÜBER dem Klassenniveau liegt?","Environ combien d'enfants dans cette classe sont AU-DESSUS du niveau scolaire en ce qui concerne leurs compétences en lecture ?","Hoeveel kinderen in deze klas hebben een leesniveau BOVEN hun leerjaar?","Wie viele Kinder in dieser Klasse haben ein Lesetempo","das ÜBER dem Klassenniveau liegt?"
"TeacherReadingAbove","teacher_survey_classroom","number of children","number of children","Número de niños(as)","Anzahl der Kinder","nombre d'enfants","aantal kinderen","Anzahl der Kinder","Número de niños(as)","number of children"
"TeacherMathBelow","teacher_survey_classroom","About how many children in this classroom are BELOW grade level in their math skills?","About how many children in this classroom are BELOW grade level in their math skills?","¿Cuántos niños(as) de este salón tienen un nivel en matemáticas POR DEBAJO del grado que cursan?","Wie viele Kinder in dieser Klasse haben ein Mathematikniveau","das UNTER dem Klassenniveau liegt?","Environ combien d'enfants dans cette classe sont en DESSOUS du niveau scolaire en ce qui concerne leurs compétences en mathématiques ?","Hoeveel kinderen in deze klas hebben een wiskundeniveau ONDER hun leerjaar?","Wie viele Kinder in dieser Klasse haben ein Mathematikniveau","das UNTER dem Klassenniveau liegt?"
"TeacherMathBelow","teacher_survey_classroom","number of children","number of children","Número de niños(as)","Anzahl der Kinder","nombre d'enfants","aantal kinderen","Anzahl der Kinder","Número de niños(as)","number of children"
"TeacherMathAbove","teacher_survey_classroom","About how many children in this classroom are ABOVE grade level in their math skills?","About how many children in this classroom are ABOVE grade level in their math skills?","¿Cuántos niños(as) de este salón tienen un nivel en matemáticas POR ENCIMA del grado que cursan?","Wie viele Kinder in dieser Klasse haben ein Mathematikniveau","das ÜBER dem Klassenniveau liegt?","Environ combien d'enfants dans cette classe sont AU-DESSUS du niveau scolaire en ce qui concerne leurs compétences en mathématiques ?","Hoeveel kinderen in deze klas hebben een wiskundeniveau BOVEN hun leerjaar?","Wie viele Kinder in dieser Klasse haben ein Mathematikniveau","das ÜBER dem Klassenniveau liegt?"
"TeacherMathAbove","teacher_survey_classroom","number of children","number of children","Número de niños(as)","Anzahl der Kinder","nombre d'enfants","aantal kinderen","Anzahl der Kinder","Número de niños(as)","number of children"
"TeacherReadingFrequency","teacher_survey_classroom","How often each week do children in this class usually work on lessons or projects in Reading and Language Arts","whether as a whole class","in small groups","or in individualized arrangements ?","How often each week do children in this class usually work on lessons or projects in Reading and Language Arts","whether as a whole class","in small groups","or in individualized arrangements ?","¿Cuántas veces por semana suelen trabajar los estudiantes de esta clase en lecciones o proyectos de lectura"
"TeacherReadingFrequency","teacher_survey_classroom","","","","","","","","",""
"TeacherReadingFrequency","teacher_survey_classroom","Less than once per week","Less than once per week","Menos de una vez por semana","Weniger als einmal pro Woche","Moins d'une fois par semaine","Minder dan één keer per week","Weniger als einmal pro Woche","Menos de una vez por semana","Less than once per week"
"TeacherReadingFrequency","teacher_survey_classroom","1 -2 times per week","1 -2 times per week","1 a 2 veces por semana","1 - 2 Mal pro Woche","1 - 2 fois par semaine","1-2 keer per week","1 - 2 Mal pro Woche","1 a 2 veces por semana","1 -2 times per week"
"TeacherReadingFrequency","teacher_survey_classroom","3 - 4 times per week","3 - 4 times per week","3 a 4 veces por semana","3 - 4 Mal pro Woche","3 - 4 fois par semaine","3-4 keer per week","3 - 4 Mal pro Woche","3 a 4 veces por semana","3 - 4 times per week"
"TeacherReadingFrequency","teacher_survey_classroom","","","","","","","","",""
"TeacherReadingTime","teacher_survey_classroom","How much time per day do children in this class usually work on lessons or projects in Reading and Language Arts","whether as a whole class","in small groups","or in individualized arrangements?","How much time per day do children in this class usually work on lessons or projects in Reading and Language Arts","whether as a whole class","in small groups","or in individualized arrangements?","¿Cuánto tiempo diario dedican trabajar los estudiantes de esta clase en lecciones o proyectos de lectura"
"TeacherReadingTime","teacher_survey_classroom","1 - 30 minutes a day","1 - 30 minutes a day","1 a 30 minutos al día","1 - 30 Minuten pro Tag","1 - 30 minutes par jour","1-30 minuten per dag","1 - 30 Minuten am Tag","1 a 30 minutos al día","1 - 30 minutes a day"
"TeacherReadingTime","teacher_survey_classroom","31 - 60 minutes a day","31 - 60 minutes a day","31 a 60 minutos al día","31 - 60 Minuten pro Tag","31 - 60 minutes par jour","31-60 minuten per dag","31 - 60 Minuten am Tag","31 a 60 minutos al día","31 - 60 minutes a day"
"TeacherReadingTime","teacher_survey_classroom","61 - 90 minutes a day","61 - 90 minutes a day","61 a 90 minutos al día","61 - 90 Minuten pro Tag","61 - 90 minutes par jour","61-90 minuten per dag","61 - 90 Minuten am Tag","61 a 90 minutos al día","61 - 90 minutes a day"
"TeacherReadingTime","teacher_survey_classroom","More than 90 minutes a day","More than 90 minutes a day","Más de 90 minutos al día","Mehr als 90 Minuten pro Tag","Plus de 90 minutes par jour","Meer dan 90 minuten per dag","Mehr als 90 Minuten am Tag","Más de 90 minutos al día","More than 90 minutes a day"
"TeacherMathFrequency","teacher_survey_classroom","How often each week do children in this class usually work on lessons or projects in Mathematics","whether as a whole class","in small groups","or in individualized arrangements?","How often each week do children in this class usually work on lessons or projects in Mathematics","whether as a whole class","in small groups","or in individualized arrangements?","¿Cuántas veces por semana suelen trabajar los estudiantes de esta clase en lecciones o proyectos de matemáticas"
"TeacherMathFrequency","teacher_survey_classroom","Never","Never","Nunca","Nie","Jamais","Nooit","Nie","Nunca","Never"
"TeacherMathFrequency","teacher_survey_classroom","Less than once per week","Less than once per week","Menos de una vez por semana","Weniger als einmal pro Woche","Moins d'une fois par semaine","Minder dan één keer per week","Weniger als einmal pro Woche","Menos de una vez por semana","Less than once per week"
"TeacherMathFrequency","teacher_survey_classroom","1 -2 times per week","1 -2 times per week","1 a 2 veces por semana","1 - 2 Mal pro Woche","1 - 2 fois par semaine","1-2 keer per week","1 - 2 Mal pro Woche","1 a 2 veces por semana","1 -2 times per week"
"TeacherMathFrequency","teacher_survey_classroom","3 - 4 times per week","3 - 4 times per week","3 a 4 veces por semana","3 - 4 Mal pro Woche","3 - 4 fois par semaine","3-4 keer per week","3 - 4 Mal pro Woche","3 a 4 veces por semana","3 - 4 times per week"
"TeacherMathFrequency","teacher_survey_classroom","Daily","","A diario","Täglich","Tous les jours","Dagelijks","Täglich","A diario",""
"TeacherMathTime","teacher_survey_classroom","How much time per day do children in this class usually work on lessons or projects in Mathematics","whether as a whole class","in small groups","or in individualized arrangements?","How much time per day do children in this class usually work on lessons or projects in Mathematics","whether as a whole class","in small groups","or in individualized arrangements?","¿Cuánto tiempo diario dedican trabajar los estudiantes de esta clase en lecciones o proyectos de matemáticas"
"TeacherMathTime","teacher_survey_classroom","1 - 30 minutes a day","1 - 30 minutes a day","1 a 30 minutos al día","1 - 30 Minuten pro Tag","1 - 30 minutes par jour","1-30 minuten per dag","1 - 30 Minuten am Tag","1 a 30 minutos al día","1 - 30 minutes a day"
"TeacherMathTime","teacher_survey_classroom","31 - 60 minutes a day","31 - 60 minutes a day","31 a 60 minutos al día","31 - 60 Minuten pro Tag","31 - 60 minutes par jour","31-60 minuten per dag","31 - 60 Minuten am Tag","31 a 60 minutos al día","31 - 60 minutes a day"
"TeacherMathTime","teacher_survey_classroom","61 - 90 minutes a day","61 - 90 minutes a day","61 a 90 minutos al día","61 - 90 Minuten pro Tag","61 - 90 minutes par jour","61-90 minuten per dag","61 - 90 Minuten am Tag","61 a 90 minutos al día","61 - 90 minutes a day"
"TeacherMathTime","teacher_survey_classroom","More than 90 minutes a day","More than 90 minutes a day","Más de 90 minutos al día","Mehr als 90 Minuten pro Tag","Plus de 90 minutes par jour","Meer dan 90 minuten per dag","Mehr als 90 Minuten am Tag","Más de 90 minutos al día","More than 90 minutes a day"
"TeacherFamilySupport","teacher_survey_classroom","Think about the families of the children in this class who you have taught this school year. For about how many families are each of the following statements true?","Think about the families of the children in this class who you have taught this school year. For about how many families are each of the following statements true?","Piense en las familias de los niños(as) de esta clase a quienes usted ha dado clase este año escolar. ¿Aproximadamente para cuántas familias es cierta cada una de las siguientes afirmaciones?","Denken Sie an die Familien der Kinder in dieser Klasse","die Sie in diesem Schuljahr unterrichtet haben. Für wie viele Familien treffen die folgenden Aussagen zu?","Pensez aux familles des enfants de cette classe à qui vous avez enseigné cette année scolaire. Pour combien de familles environ chacune des déclarations suivantes est-elle vraie ?","Denk aan de families van de kinderen in deze klas die u dit schooljaar lesgegeven hebt. Voor hoeveel families zijn de volgende uitspraken ongeveer waarheid?","Denken Sie an die Familien der Kinder in dieser Klasse","Think about the families of the children in this class who you have taught this school year. For about how many families are each of the following statements true?"
"TeacherFamilyOverwhelm","teacher_survey_classroom","Families seem overwhelmed by trying to support their children's learning.","Families seem overwhelmed by trying to support their children's learning.","Las familias parecen estar abrumadas por tratar de apoyar el aprendizaje de sus niños(as).","Die Familien scheinen überwältigt zu sein","wenn sie versuchen","das Lernen ihrer Kinder zu unterstützen.","Les familles semblent dépassées par le fait de devoir soutenir l'apprentissage de leurs enfants.","Gezinnen lijken overweldigd door het proberen te ondersteunen van het leren van hun kinderen.","Familien scheinen überfordert zu sein"
"TeacherFamilyOverwhelm","teacher_survey_classroom","None","None","Ninguna","Keine","Aucun","Geen","Keine","Ninguna","None"
"TeacherFamilyOverwhelm","teacher_survey_classroom","One or a few","One or a few","Una o pocas","Eine oder wenige","Une ou quelques-unes","Eén of enkele","Eine oder wenige","Una o pocas","One or a few"
"TeacherFamilyOverwhelm","teacher_survey_classroom","Many","Many","Muchas","Viele","Beaucoup","Veel","Viele","Muchas","Many"
"TeacherFamilyOverwhelm","teacher_survey_classroom","All or almost all","All or almost all","Todas o casi todas","Alle oder fast alle","Toutes ou presque toutes","Alle of bijna alle","Alle oder fast alle","Todas o casi todas","All or almost all"
"TeacherFamilyHelping","teacher_survey_classroom","Families are doing their part to support children's learning.","Families are doing their part to support children's learning.","Las familias hacen su parte para apoyar el aprendizaje de los niños(as).","Die Familien leisten ihren Beitrag","um das Lernen der Kinder zu unterstützen.","Les familles font leur part pour soutenir l'apprentissage des enfants.","Gezinnen doen hun best om het leren van kinderen te ondersteunen.","Familien tragen ihren Teil dazu bei","das Lernen der Kinder zu unterstützen."
"TeacherFamilyHelping","teacher_survey_classroom","None","None","Ninguna","Keine","Aucun","Geen","Keine","Ninguna","None"
"TeacherFamilyHelping","teacher_survey_classroom","One or a few","One or a few","Una o pocas","Eine oder wenige","Une ou quelques-unes","Eén of enkele","Eine oder wenige","Una o pocas","One or a few"
"TeacherFamilyHelping","teacher_survey_classroom","Many","Many","Muchas","Viele","Beaucoup","Veel","Viele","Muchas","Many"
"TeacherFamilyHelping","teacher_survey_classroom","All or almost all","All or almost all","Todas o casi todas","Alle oder fast alle","Toutes ou presque toutes","Alle of bijna alle","Alle oder fast alle","Todas o casi todas","All or almost all"
"TeacherComm","teacher_survey_classroom","Please indicate how satisfied or dissatisfied you have been with the following this school year.","Please indicate how satisfied or dissatisfied you have been with the following this school year.","Por favor","indique cuán satisfecho(a) o insatisfecho(a) ha estado usted este año escolar con los siguientes aspectos.","Bitte geben Sie an","wie zufrieden oder unzufrieden Sie in diesem Schuljahr mit den folgenden Aspekten waren.","Veuillez indiquer à quel point vous avez été satisfait ou insatisfait de ce qui suit cette année scolaire.","Geef aan hoe tevreden of ontevreden u dit schooljaar met de volgende aspecten bent geweest.","Please indicate how satisfied or dissatisfied you have been with the following this school year."
"TeacherCommFamily","teacher_survey_classroom","Communication between you and families.","Communication between you and families.","La comunicación entre usted y las familias.","Die Kommunikation zwischen Ihnen und den Familien.","Communication entre vous et les familles.","Communicatie tussen u en de families.","Die Kommunikation zwischen Ihnen und den Familien.","La comunicación entre usted y las familias.","Communication between you and families."
"TeacherCommFamily","teacher_survey_classroom","Not satisfied at all","Not satisfied at all","Nada satisfecho","Überhaupt nicht zufrieden","Pas du tout satisfait","Helemaal niet tevreden","Überhaupt nicht zufrieden","Nada satisfecho","Not satisfied at all"
"TeacherCommFamily","teacher_survey_classroom","Slightly satisfied","Slightly satisfied","Poco satisfecho","Wenig zufrieden","Légèrement satisfait","Een beetje tevreden","Wenig zufrieden","Poco satisfecho","Slightly satisfied"
"TeacherCommFamily","teacher_survey_classroom","Moderately satisfied","Moderately satisfied","Medianamente satisfecho","Mäßig zufrieden","Modérément satisfait","Gemiddeld tevreden","Mäßig zufrieden","Medianamente satisfecho","Moderately satisfied"
"TeacherCommFamily","teacher_survey_classroom","Quite satisfied","Quite satisfied","Bastante satisfecho","Ganz zufrieden","Assez satisfait","Best tevreden","Ganz zufrieden","Bastante satisfecho","Quite satisfied"
"TeacherCommFamily","teacher_survey_classroom","Very satisfied","Very satisfied","Absolutamente satisfecho","Sehr zufrieden","Très satisfait","Zeer tevreden","Sehr zufrieden","Absolutamente satisfecho","Very satisfied"
"TeacherCommStudents","teacher_survey_classroom","Communication between you and your students.","Communication between you and your students.","La comunicación entre usted y sus alumnos.","Die Kommunikation zwischen Ihnen und Ihren Schülern.","Communication entre vous et vos élèves.","Communicatie tussen u en uw leerlingen.","Die Kommunikation zwischen Ihnen und Ihren Schülern.","La comunicación entre usted y sus alumnos.","Communication between you and your students."
"TeacherCommStudents","teacher_survey_classroom","Not satisfied at all","Not satisfied at all","Nada satisfecho","Überhaupt nicht zufrieden","Pas du tout satisfait","Helemaal niet tevreden","Überhaupt nicht zufrieden","Nada satisfecho","Not satisfied at all"
"TeacherCommStudents","teacher_survey_classroom","Slightly satisfied","Slightly satisfied","Poco satisfecho","Wenig zufrieden","Légèrement satisfait","Een beetje tevreden","Wenig zufrieden","Poco satisfecho","Slightly satisfied"
